perrakis	["Perrakis, A", "Perrakis A", "Perrakis, Anastassis"]
kleywegt	 ["Kleywegt GJ", "Kleywegt, G J", "Kleywegt, Gerard J"]
gilliland	["Gilliland GL", "Gilliland G", "Gilliland, Gary", "Gilliland, Gary L", "Gilliland, G L"]
mcpherson	["McPherson, Alexander", "McPherson, A", "McPherson, Andrew", "McPherson A"]
read	["Read J", "Read, R J", "Read, Randy J", "Read RJ"]
adams	["Adams, Paul", "Adams, Paul D", "Adams PD", "Adams, Peter D"]
mackinnon	["MacKinnon R", "Mackinnon R", "MacKinnon, R", "Mackinnon, Roderick", "Mackinnon, R", "MacKinnon, Roderick"]
kornberg	["Kornberg, R D","Kornberg, Roger D","Kornberg RD"]
ramakrishnan	["Ramakrishnan, V","Ramakrishnan, Venki"]
steintz	["Steitz, Thomas A","Steitz, T A","Steitz TA"]
yonath	["Yonath A","Yonath, A","Yonath, Ada"]
kobilka	["Kobilka BK","Kobilka, Brian K"]